Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-10-21 16:28:12,0.09821,17.56250,17.56250,0.00000
2023-10-21 16:28:13,0.17448,20.71875,20.71875,0.00000
2023-10-21 16:28:14,0.52865,43.93750,43.93750,0.00000
2023-10-21 16:28:15,0.52865,44.00781,44.00781,0.00000
2023-10-21 16:28:16,0.45089,43.50000,43.50000,0.00000
2023-10-21 16:28:17,0.52083,39.28125,39.28125,0.00000
2023-10-21 16:28:18,0.52865,43.86719,43.86719,0.00000
2023-10-21 16:28:19,0.52083,41.77344,41.77344,0.00000
2023-10-21 16:28:20,0.52344,43.26563,43.26563,0.00000
2023-10-21 16:28:21,0.45982,42.30469,42.30469,0.00000
2023-10-21 16:28:22,0.52344,43.82031,43.82031,0.00000
2023-10-21 16:28:23,0.52344,42.75781,42.75781,0.00000
2023-10-21 16:28:24,0.52865,41.87500,41.87500,0.00000
2023-10-21 16:28:25,0.45313,41.32031,41.32031,0.00000
2023-10-21 16:28:26,0.52083,43.90625,43.90625,0.00000
2023-10-21 16:28:27,0.53125,43.33594,43.33594,0.00000
2023-10-21 16:28:28,0.52604,42.20313,42.20313,0.00000
2023-10-21 16:28:29,0.45089,42.81250,42.81250,0.00000
2023-10-21 16:28:30,0.53646,43.97656,43.97656,0.00000
2023-10-21 16:28:31,0.52083,40.67969,40.67969,0.00000
2023-10-21 16:28:32,0.52604,43.57031,43.57031,0.00000
2023-10-21 16:28:33,0.25781,27.53906,27.53906,0.00000
2023-10-21 16:28:34,0.17634,21.67188,21.67188,0.00000
2023-10-21 16:28:35,0.05729,8.62500,8.62500,0.00000
2023-10-21 16:28:36,0.06771,9.71875,9.71875,0.00000
2023-10-21 16:28:37,0.40104,30.64063,30.64063,0.00000
2023-10-21 16:28:38,0.44643,40.95313,40.95313,0.00000
2023-10-21 16:28:39,0.53646,41.34375,41.34375,0.00000
2023-10-21 16:28:40,0.51563,39.64844,39.64844,0.00000
2023-10-21 16:28:41,0.52083,41.60156,41.60156,0.00000
2023-10-21 16:28:42,0.45536,41.85156,41.85156,0.00000
2023-10-21 16:28:43,0.52083,41.88281,41.88281,0.00000
2023-10-21 16:28:44,0.52083,42.00000,42.00000,0.00000
2023-10-21 16:28:45,0.52604,41.91406,41.91406,0.00000
2023-10-21 16:28:46,0.44643,40.14063,40.14063,0.00000
2023-10-21 16:28:47,0.52604,41.49219,41.49219,0.00000
2023-10-21 16:28:48,0.53646,40.71875,40.71875,0.00000
2023-10-21 16:28:49,0.52083,36.00000,36.00000,0.00000
2023-10-21 16:28:50,0.44643,39.35938,39.35938,0.00000
2023-10-21 16:28:51,0.53125,40.98438,40.98438,0.00000
2023-10-21 16:28:52,0.52344,41.16406,41.16406,0.00000
2023-10-21 16:28:53,0.52083,41.20313,41.20313,0.00000
2023-10-21 16:28:54,0.53385,42.75000,42.75000,0.00000
2023-10-21 16:28:55,0.44866,40.61719,40.61719,0.00000
2023-10-21 16:28:56,0.51823,37.92969,37.92969,0.00000
2023-10-21 16:28:57,0.53646,37.60938,37.60938,0.00000
2023-10-21 16:28:58,0.52344,39.31250,39.31250,0.00000
2023-10-21 16:28:59,0.45313,43.38281,43.38281,0.00000
2023-10-21 16:29:00,0.52604,43.10156,43.10156,0.00000
2023-10-21 16:29:01,0.52344,40.60938,40.60938,0.00000
2023-10-21 16:29:02,0.52083,40.35156,40.35156,0.00000
2023-10-21 16:29:03,0.45759,40.25000,40.25000,0.00000
2023-10-21 16:29:04,0.51563,43.69531,43.69531,0.00000
2023-10-21 16:29:05,0.52083,43.58594,43.58594,0.00000
2023-10-21 16:29:06,0.53385,43.58594,43.58594,0.00000
2023-10-21 16:29:07,0.44643,43.67188,43.67188,0.00000
2023-10-21 16:29:08,0.52083,43.78125,43.78125,0.00000
2023-10-21 16:29:09,0.52604,42.43750,42.43750,0.00000
2023-10-21 16:29:10,0.51563,44.03906,44.03906,0.00000
