__run_id,__done,run,avg_cpu,avg_memory,total_energy,total_inference_time
run_0,DONE,0,0.376,5.649,-224720.878,881.187
run_1,DONE,1,0.37,5.714,28841.502,872.4
run_2,DONE,2,0.377,5.689,28949.701,881.036
run_3,DONE,3,0.371,5.464,28983.211,881.885
run_4,DONE,4,0.365,5.662,29024.43,897.537
